City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
255,Kpandu,GH,86.13,broken clouds,6.9954,0.2931,Emo House
259,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
260,Hambantota,LK,77.05,overcast clouds,6.1241,81.1185,Bungalow 63
265,Mango,US,79.12,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
271,Sungairaya,ID,75.42,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
277,Bafia,CM,78.44,scattered clouds,4.75,11.2333,Rim touristique hôtel
279,Banda Aceh,ID,77.68,broken clouds,5.5577,95.3222,Sulthan Hotel International
284,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Katobu,ID,75.56,light rain,-4.9408,122.5276,La Ode Husein
288,Sambava,MG,77.34,moderate rain,-14.2667,50.1667,Melrose
290,Key Largo,US,82.02,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
293,Ternate,ID,79.18,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
298,Sai Buri,TH,76.32,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
300,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
302,Port Hueneme,US,86.32,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
306,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
310,Ferkessedougou,CI,85.5,broken clouds,9.6,-5.2,Hotel Chateau
316,Paracuru,BR,87.82,clear sky,-3.41,-39.0306,Hotel Vento Brasil
323,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
328,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
330,Omboue,GA,78.51,light rain,-1.5746,9.2618,Hotel Olako
333,Banfora,BF,85.66,clear sky,10.6333,-4.7667,Residences David Hebié
335,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
339,Sena Madureira,BR,83.35,overcast clouds,-9.0656,-68.6569,Hotel Central
341,Roebourne,AU,85.03,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
347,Rock Sound,BS,75.81,few clouds,24.9,-76.2,Pink Corral Bay Property
349,San Policarpo,PH,78.48,overcast clouds,12.1791,125.5072,Agapita M. Nicart
