City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,College,US,2022-02-09 23:22:39,64.8569,-147.8028,-3.71,76,100,0.0
67,Marrakesh,MA,2022-02-09 23:20:15,31.6315,-8.0083,66.27,34,13,8.05
68,Hasaki,JP,2022-02-09 23:18:33,35.7333,140.8333,39.6,67,100,15.08
69,Kaitangata,NZ,2022-02-09 23:22:40,-46.2817,169.8464,62.17,94,100,3.65
70,Dikson,RU,2022-02-09 23:22:41,73.5069,80.5464,2.28,95,100,22.17
71,Bredasdorp,ZA,2022-02-09 23:22:41,-34.5322,20.0403,65.52,88,81,4.61
72,Colomi,BO,2022-02-09 23:22:42,-17.35,-65.8667,57.22,86,93,4.23
73,Port Elizabeth,ZA,2022-02-09 23:21:49,-33.918,25.5701,62.89,88,0,5.75
74,Kolosovka,RU,2022-02-09 23:22:42,56.4678,73.611,-16.13,100,35,6.04
75,Abu Dhabi,AE,2022-02-09 23:22:43,24.4667,54.3667,65.97,80,0,0.0
76,Los Llanos De Aridane,ES,2022-02-09 23:22:43,28.6585,-17.9182,67.75,46,0,5.75
77,Bubaque,GW,2022-02-09 23:22:44,11.2833,-15.8333,78.17,75,28,10.69
78,Xining,CN,2022-02-09 23:22:44,36.6167,101.7667,13.06,91,93,0.85
79,Klaksvik,FO,2022-02-09 23:22:45,62.2266,-6.589,32.92,65,100,18.68
80,Damphu,BT,2022-02-09 23:22:45,27.0721,90.1096,46.65,93,100,3.89
81,Biggar,GB,2022-02-09 23:22:45,55.6167,-3.5167,35.55,91,100,14.47
82,Chilmari,BD,2022-02-09 23:22:46,25.5559,89.6715,62.33,63,35,4.43
83,Homer,US,2022-02-09 23:22:46,59.6425,-151.5483,19.08,84,75,27.63
84,Georgetown,MY,2022-02-09 23:22:47,5.4112,100.3354,78.73,94,20,4.61
85,Grindavik,IS,2022-02-09 23:22:47,63.8424,-22.4338,23.47,74,0,8.05
86,Butaritari,KI,2022-02-09 23:22:48,3.0707,172.7902,81.54,78,78,13.15
87,Aklavik,CA,2022-02-09 23:22:48,68.2191,-135.0107,-19.37,69,75,10.36
88,Svetlaya,RU,2022-02-09 23:22:49,46.5389,138.3297,14.56,68,22,5.35
89,Young,UY,2022-02-09 23:22:49,-32.6833,-57.6333,78.22,45,0,10.38
90,Baykit,RU,2022-02-09 23:23:50,61.67,96.37,-11.42,97,100,2.28
91,Victoria,HK,2022-02-09 23:23:50,22.2855,114.1577,63.32,85,100,4.0
92,Agirish,RU,2022-02-09 23:23:50,61.9247,63.0231,9.59,93,74,11.25
93,Lebu,CL,2022-02-09 23:23:51,-37.6167,-73.65,60.91,75,0,21.61
94,Hobart,AU,2022-02-09 23:22:42,-42.8794,147.3294,71.46,49,20,16.11
95,Havoysund,NO,2022-02-09 23:22:12,70.9963,24.6622,23.88,77,91,12.8
96,Montrose,US,2022-02-09 23:19:13,38.4166,-108.2673,40.41,42,7,5.48
97,Te Anau,NZ,2022-02-09 23:23:52,-45.4167,167.7167,71.35,50,20,5.41
98,Ponta Do Sol,PT,2022-02-09 23:23:52,32.6667,-17.1,70.72,28,100,5.55
99,Russell,US,2022-02-09 23:23:53,32.3502,-85.1999,61.88,27,0,5.75
100,Nome,US,2022-02-09 23:23:53,64.5011,-165.4064,-9.33,70,0,8.05
101,Saint Anthony,US,2022-02-09 23:23:54,45.0205,-93.218,30.15,70,100,17.27
102,Leh,IN,2022-02-09 23:23:55,34.1667,77.5833,-7.17,94,100,3.74
103,Sinnamary,GF,2022-02-09 23:23:56,5.3833,-52.95,76.64,86,38,9.53
104,Hammerfest,NO,2022-02-09 23:23:56,70.6634,23.6821,23.45,68,0,9.22
105,Whitehorse,CA,2022-02-09 23:23:27,60.7161,-135.0538,41.77,60,40,18.99
106,Sur,OM,2022-02-09 23:23:57,22.5667,59.5289,68.29,65,2,5.21
107,Yellowknife,CA,2022-02-09 23:23:57,62.456,-114.3525,-7.58,87,100,16.11
108,Saint-Martin-Boulogne,FR,2022-02-09 23:23:58,50.7269,1.6186,47.89,93,98,7.96
109,Dudinka,RU,2022-02-09 23:23:58,69.4058,86.1778,-3.39,97,100,16.58
110,Quatre Cocos,MU,2022-02-09 23:23:59,-20.2078,57.7625,75.31,76,66,7.14
111,Port Alfred,ZA,2022-02-09 23:23:59,-33.5906,26.891,65.95,83,2,8.86
112,Kidal,ML,2022-02-09 23:24:00,18.4411,1.4078,69.21,8,0,7.92
113,Port Blair,IN,2022-02-09 23:24:00,11.6667,92.75,76.66,79,25,9.8
114,Ayorou,NE,2022-02-09 23:24:01,14.7308,0.9174,74.44,10,0,11.3
115,Seymchan,RU,2022-02-09 23:24:01,62.8833,152.4333,-41.3,98,84,0.34
116,Lorengau,PG,2022-02-09 23:24:01,-2.0226,147.2712,83.07,78,58,4.56
117,Yingcheng,CN,2022-02-09 23:24:02,30.95,113.55,33.85,91,6,1.59
118,Faya,SA,2022-02-09 23:19:48,18.3851,42.4509,57.31,79,2,4.88
119,Moose Factory,CA,2022-02-09 23:24:03,51.2585,-80.6094,26.6,93,100,3.44
120,Rawson,AR,2022-02-09 23:24:03,-43.3002,-65.1023,66.34,73,79,15.08
121,Chuy,UY,2022-02-09 23:24:04,-33.6971,-53.4616,67.15,72,28,9.17
122,Oranjemund,NA,2022-02-09 23:24:05,-28.55,16.4333,63.97,89,0,8.72
123,Baracoa,CU,2022-02-09 23:24:05,20.3467,-74.4958,77.43,77,13,2.98
124,Port Lincoln,AU,2022-02-09 23:22:23,-34.7333,135.8667,66.47,59,65,7.72
125,Pangnirtung,CA,2022-02-09 23:24:06,66.1451,-65.7125,-20.2,76,0,2.3
126,Avarua,CK,2022-02-09 23:24:07,-21.2078,-159.775,82.45,78,40,13.8
127,Igarka,RU,2022-02-09 23:24:07,67.4667,86.5833,-16.69,96,83,10.51
128,Saint George,US,2022-02-09 23:22:21,37.1041,-113.5841,68.59,19,0,20.71
129,Antofagasta,CL,2022-02-09 23:24:08,-23.65,-70.4,69.08,75,40,4.5
130,Tura,IN,2022-02-09 23:24:08,25.5198,90.2201,55.9,66,7,2.91
131,Kapaa,US,2022-02-09 23:24:09,22.0752,-159.319,80.11,69,0,11.5
132,Camocim,BR,2022-02-09 23:25:09,-2.9022,-40.8411,78.3,82,45,11.05
133,Vilhena,BR,2022-02-09 23:25:09,-12.7406,-60.1458,75.42,83,75,8.05
134,Mareeba,AU,2022-02-09 23:25:10,-17.0,145.4333,80.47,69,8,1.95
135,Guerrero Negro,MX,2022-02-09 23:21:07,27.9769,-114.0611,71.67,28,39,9.82
136,Seoul,KR,2022-02-09 23:25:11,37.5683,126.9778,22.6,84,20,2.3
137,Katsuura,JP,2022-02-09 23:25:11,35.1333,140.3,41.18,77,100,16.62
138,East London,ZA,2022-02-09 23:25:11,-33.0153,27.9116,68.61,77,0,4.52
139,Iralaya,HN,2022-02-09 23:25:12,15.0,-83.2333,80.69,71,17,11.01
140,Dourbali,TD,2022-02-09 23:25:12,11.8091,15.8632,67.06,10,0,10.25
141,New Norfolk,AU,2022-02-09 23:25:13,-42.7826,147.0587,71.1,43,48,1.99
142,Penha,BR,2022-02-09 23:25:14,-26.7694,-48.6458,76.87,73,75,6.91
143,Souillac,MU,2022-02-09 23:25:14,-20.5167,57.5167,75.58,83,40,0.0
144,Terrace Bay,CA,2022-02-09 23:25:15,48.7834,-87.1,29.82,98,100,3.89
145,Esperance,AU,2022-02-09 23:25:15,-33.8667,121.9,66.04,80,14,12.06
146,La Ronge,CA,2022-02-09 23:23:39,55.1001,-105.2842,8.85,78,100,5.75
147,Cabedelo,BR,2022-02-09 23:25:16,-6.9811,-34.8339,81.27,71,56,15.23
148,Hamilton,US,2022-02-09 23:25:16,39.1834,-84.5333,49.05,52,100,16.11
149,Namibe,AO,2022-02-09 23:25:18,-15.1961,12.1522,73.99,78,100,8.88
150,Harper,LR,2022-02-09 23:25:18,4.375,-7.7169,79.59,86,91,11.63
151,Lata,PT,2022-02-09 23:25:20,40.1629,-8.3327,49.06,69,6,2.93
152,La Rioja,ES,2022-02-09 23:25:20,42.25,-2.5,37.04,52,0,4.27
153,Mayor Pablo Lagerenza,PY,2022-02-09 23:25:21,-19.9309,-60.7718,84.16,26,8,4.07
154,Poya,NC,2022-02-09 23:25:21,-21.35,165.15,80.44,91,100,12.08
155,Carutapera,BR,2022-02-09 23:25:22,-1.195,-46.02,75.76,90,70,5.44
156,Vestmannaeyjar,IS,2022-02-09 23:21:23,63.4427,-20.2734,26.08,70,60,25.08
157,Naze,JP,2022-02-09 23:25:24,28.3667,129.4833,58.12,85,96,13.06
158,La Paz,BO,2022-02-09 23:25:24,-16.5,-68.15,51.78,81,75,10.36
159,Dhidhdhoo,MV,2022-02-09 23:25:25,6.8833,73.1,80.91,73,100,8.63
160,Barrow,US,2022-02-09 23:25:25,71.2906,-156.7887,-23.78,69,100,12.66
161,Cisterna,BR,2022-02-09 23:25:26,-11.9287,-41.8553,71.26,65,11,5.55
162,Urengoy,RU,2022-02-09 23:25:26,65.9667,78.3667,-9.33,88,64,9.78
163,Kharan,PK,2022-02-09 23:25:27,28.5833,65.4167,52.45,23,0,6.98
164,Ancud,CL,2022-02-09 23:23:44,-41.8697,-73.8203,60.33,73,99,8.46
165,Towson,US,2022-02-09 23:25:27,39.4015,-76.6019,50.63,55,0,5.75
166,Abu Samrah,SY,2022-02-09 23:25:28,35.3029,37.1841,46.42,84,97,16.28
167,Saint-Pierre,RE,2022-02-09 23:25:28,-21.3393,55.4781,73.08,73,100,4.61
168,Margate,GB,2022-02-09 23:25:29,51.3813,1.3862,48.96,86,94,4.0
169,Brechin,GB,2022-02-09 23:25:29,56.7299,-2.6573,36.25,89,35,11.3
170,Padang,ID,2022-02-09 23:24:56,-0.9492,100.3543,75.25,61,100,5.7
171,Oktyabrskiy,RU,2022-02-09 23:25:30,54.4815,53.471,18.34,89,100,12.01
172,Mar Del Plata,AR,2022-02-09 23:21:51,-38.0023,-57.5575,73.09,89,78,15.01
173,Carnarvon,AU,2022-02-09 23:25:30,-24.8667,113.6333,75.27,78,0,3.44
174,Half Moon Bay,US,2022-02-09 23:25:31,37.4636,-122.4286,77.79,30,0,10.36
175,Beringovskiy,RU,2022-02-09 23:25:31,63.05,179.3167,-17.66,86,6,8.28
176,Richards Bay,ZA,2022-02-09 23:25:32,-28.783,32.0377,69.91,91,0,2.77
177,Arandis,NA,2022-02-09 23:25:32,-22.4167,14.9667,61.47,71,0,3.53
178,Dalbandin,PK,2022-02-09 23:24:08,28.8947,64.4101,49.68,28,0,4.61
179,Chapais,CA,2022-02-09 23:26:33,49.7834,-74.8492,22.78,96,100,10.58
180,Egvekinot,RU,2022-02-09 23:26:33,66.3167,-179.1667,-21.68,88,22,8.46
181,Lumsden,CA,2022-02-09 23:26:34,50.6501,-104.8678,34.77,97,69,5.23
182,Nizhniy Kuranakh,RU,2022-02-09 23:26:34,58.8353,125.4869,-25.62,99,100,2.51
183,Deputatskiy,RU,2022-02-09 23:26:35,69.3,139.9,-26.5,84,100,6.42
184,Nara,JP,2022-02-09 23:26:35,34.6851,135.8049,43.88,68,100,3.47
185,Aranos,NA,2022-02-09 23:26:36,-24.1333,19.1167,74.26,53,36,0.58
186,Vanimo,PG,2022-02-09 23:26:36,-2.6741,141.3028,80.44,82,78,1.81
187,Kirkcudbright,GB,2022-02-09 23:26:37,54.8383,-4.0491,39.94,73,100,21.23
188,Oneonta,US,2022-02-09 23:26:37,42.4529,-75.0638,41.16,83,87,7.63
189,Port Hedland,AU,2022-02-09 23:26:37,-20.3167,118.5667,82.45,78,14,12.66
190,Olafsvik,IS,2022-02-09 23:26:38,64.8945,-23.7142,24.91,53,100,8.39
191,Sao Filipe,CV,2022-02-09 23:26:38,14.8961,-24.4956,76.66,60,77,2.68
192,Hyeres,FR,2022-02-09 23:26:39,43.1167,6.1167,50.74,93,20,1.14
193,Denpasar,ID,2022-02-09 23:22:45,-8.65,115.2167,76.71,94,40,3.44
