City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barrow,US,71.2906,-156.7887,-34.58,100,0,6.91,clear sky
80,Aksay,RU,47.26,39.87,41.29,94,49,8.01,scattered clouds
81,Teluk Nibung,ID,3.001,99.8164,74.34,93,100,2.44,overcast clouds
82,Olafsvik,IS,64.8945,-23.7142,30.83,75,100,16.89,overcast clouds
83,Xam Nua,LA,20.4197,104.0439,58.32,97,62,2.98,broken clouds
84,Numata,JP,36.6333,139.05,27.5,74,34,5.93,scattered clouds
85,New Norfolk,AU,-42.7826,147.0587,50.92,67,61,1.99,broken clouds
86,Gympie,AU,-26.1898,152.665,69.31,81,0,4.09,clear sky
87,Bochov,CZ,50.1487,13.0523,35.73,89,75,11.5,snow
88,Kudahuvadhoo,MV,2.6708,72.8944,81.81,66,78,3.15,broken clouds
89,Coos Bay,US,43.3665,-124.2179,53.15,93,0,0.0,clear sky
90,Codrington,AU,-38.2667,141.9667,52.39,88,2,7.23,clear sky
91,Pishin,PK,30.5803,66.9961,46.29,31,0,1.01,clear sky
92,Ahipara,NZ,-35.1667,173.1667,75.09,93,100,14.0,overcast clouds
93,Khatanga,RU,71.9667,102.5,2.17,80,75,15.75,broken clouds
94,Dodge City,US,37.7528,-100.0171,52.25,47,0,25.32,clear sky
95,Hanmer Springs,NZ,-42.5167,172.8167,60.87,87,100,1.23,light rain
96,Nelson Bay,AU,-32.7167,152.15,73.0,69,96,4.0,overcast clouds
97,Saint George,US,37.1041,-113.5841,66.34,37,0,1.01,clear sky
98,San Patricio,US,28.017,-97.5169,77.09,44,0,7.47,clear sky
99,Kavieng,PG,-2.5744,150.7967,81.09,80,100,7.96,light rain
100,Port Hawkesbury,CA,45.6169,-61.3485,45.18,65,0,11.5,clear sky
101,Tombouctou,ML,20.0,-3.0,67.69,15,24,9.89,few clouds
102,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,81,4.0,broken clouds
103,Brokopondo,SR,4.75,-55.1667,81.93,74,76,8.16,broken clouds
104,Pacific Grove,US,36.6177,-121.9166,76.3,48,0,4.0,clear sky
105,El Carmen De Bolivar,CO,9.7174,-75.1202,95.18,34,79,4.16,broken clouds
106,Tateyama,JP,34.9833,139.8667,39.22,67,12,12.08,few clouds
107,Klaksvik,FO,62.2266,-6.589,40.12,74,100,12.21,overcast clouds
108,Cap Malheureux,MU,-19.9842,57.6142,79.29,77,100,1.99,overcast clouds
109,Andenes,NO,69.3143,16.1194,28.38,64,20,11.5,few clouds
110,Hermanus,ZA,-34.4187,19.2345,68.9,88,0,4.34,clear sky
111,Lavrentiya,RU,65.5833,-171.0,-26.48,94,25,7.16,scattered clouds
112,Salalah,OM,17.0151,54.0924,75.29,64,20,2.3,few clouds
113,Murray Bridge,AU,-35.1167,139.2667,64.45,63,0,4.88,clear sky
114,Zverinogolovskoye,RU,54.4586,64.8542,17.44,94,100,16.42,light snow
115,Biltine,TD,14.5333,20.9167,73.72,11,4,10.85,clear sky
116,Lensk,RU,60.7253,114.9278,-6.95,97,100,5.14,overcast clouds
117,Farah,AF,32.5,62.5,50.45,33,0,2.53,clear sky
118,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,3.44,light snow
119,Mill Valley,US,37.906,-122.545,72.05,59,10,5.5,clear sky
120,Myitkyina,MM,25.3833,97.4,57.45,74,0,2.98,clear sky
121,Valdez,EC,1.2492,-78.9831,79.72,78,12,9.53,light rain
122,Agutaya,PH,11.148,120.9417,78.76,88,100,25.79,overcast clouds
123,Niquero,CU,20.0431,-77.5828,81.28,66,54,3.56,broken clouds
124,Tiksi,RU,71.6872,128.8694,-13.11,94,98,14.76,overcast clouds
125,Key West,US,24.5557,-81.7826,77.0,69,75,10.36,broken clouds
126,Yeniseysk,RU,58.4497,92.1703,-10.7,97,13,4.59,few clouds
127,Albany,US,42.6001,-73.9662,49.95,40,70,1.01,moderate rain
128,Airai,TL,-8.9266,125.4092,60.67,94,100,0.98,overcast clouds
129,Batagay-Alyta,RU,67.8006,130.4114,-16.73,87,100,4.21,overcast clouds
130,Charleston,US,32.7766,-79.9309,71.13,34,0,9.22,clear sky
131,Suntar,RU,62.1444,117.6319,-7.11,98,96,4.23,overcast clouds
132,Faanui,PF,-16.4833,-151.75,81.54,72,87,14.76,overcast clouds
133,Grand Gaube,MU,-20.0064,57.6608,79.2,77,98,1.99,overcast clouds
134,Marsa Matruh,EG,31.3525,27.2453,56.1,62,3,4.63,clear sky
135,Korla,CN,41.7597,86.1469,27.09,49,0,3.29,clear sky
136,Turgutlu,TR,38.4953,27.6997,43.48,65,0,4.14,clear sky
137,Tuatapere,NZ,-46.1333,167.6833,51.82,82,52,6.24,broken clouds
138,Ostrovnoy,RU,68.0531,39.5131,20.1,94,100,9.93,overcast clouds
139,Vao,NC,-22.6667,167.4833,80.55,83,100,17.49,light rain
140,Yellowknife,CA,62.456,-114.3525,-12.59,81,75,4.61,broken clouds
141,Aloleng,PH,16.1307,119.7824,76.5,73,7,7.14,clear sky
142,Vila Velha,BR,-20.3297,-40.2925,76.95,86,75,13.8,broken clouds
143,Buseresere,TZ,-3.0236,31.8747,65.17,87,76,2.46,broken clouds
144,Sitka,US,57.0531,-135.33,39.09,81,100,10.36,overcast clouds
145,Phangnga,TH,8.4509,98.5298,77.04,93,97,2.08,overcast clouds
146,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,77,75,4.9,broken clouds
147,Chodziez,PL,52.995,16.9198,37.58,87,100,16.44,overcast clouds
148,Arroio Dos Ratos,BR,-30.0772,-51.7292,94.05,29,48,9.64,scattered clouds
149,Hailar,CN,49.2,119.7,-13.2,100,100,4.25,overcast clouds
150,Kahului,US,20.8947,-156.47,75.85,78,20,4.61,few clouds
151,Maceio,BR,-9.6658,-35.7353,87.24,58,40,17.27,scattered clouds
152,Hithadhoo,MV,-0.6,73.0833,81.7,70,100,7.58,overcast clouds
153,Sydney,AU,-33.8679,151.2073,70.9,67,75,16.11,broken clouds
154,Buchanan,LR,5.8808,-10.0467,89.56,81,31,8.7,scattered clouds
155,Chebarkul,RU,54.9749,60.3633,5.36,99,100,3.02,overcast clouds
156,Warmbad,NA,-28.45,18.7333,95.29,17,100,9.95,overcast clouds
157,Baiquan,CN,47.5833,126.0833,-4.09,100,76,6.13,broken clouds
158,Qaanaaq,GL,77.484,-69.3632,-24.45,64,0,7.4,clear sky
159,Cape Town,ZA,-33.9258,18.4232,71.28,75,0,17.27,clear sky
160,Ulaangom,MN,49.9811,92.0667,-27.71,90,78,3.6,broken clouds
161,Prescott,US,34.54,-112.4685,61.38,29,0,5.75,clear sky
162,Yulara,AU,-25.2406,130.9889,67.84,42,0,5.75,clear sky
163,Kushima,JP,31.4583,131.2333,47.12,74,100,5.55,overcast clouds
164,Almaznyy,RU,48.0448,40.045,39.34,92,100,17.34,overcast clouds
165,Hami,CN,42.8,93.45,30.06,52,100,1.57,light snow
166,Semnan,IR,35.5729,53.3971,45.32,64,87,7.09,overcast clouds
167,Ancud,CL,-41.8697,-73.8203,67.23,53,0,5.75,clear sky
168,Ambilobe,MG,-13.2,49.05,73.67,96,100,1.7,moderate rain
169,Saskylakh,RU,71.9167,114.0833,2.52,91,95,12.75,overcast clouds
170,Avarua,CK,-21.2078,-159.775,77.05,94,20,3.44,few clouds
171,Grindavik,IS,63.8424,-22.4338,30.67,64,75,17.27,broken clouds
172,Sur,OM,22.5667,59.5289,68.63,57,0,7.96,clear sky
173,Huaibei,CN,33.9744,116.7917,37.69,87,17,3.06,few clouds
174,Mareeba,AU,-17.0,145.4333,68.72,94,41,1.5,scattered clouds
175,Leningradskiy,RU,69.3833,178.4167,-18.56,97,99,4.88,overcast clouds
176,Hilo,US,19.7297,-155.09,75.61,79,75,6.91,broken clouds
177,Port Hedland,AU,-20.3167,118.5667,84.25,84,40,4.61,scattered clouds
178,Dikson,RU,73.5069,80.5464,2.34,82,100,28.41,overcast clouds
179,Sitrah,BH,26.1547,50.6206,68.36,66,0,11.5,clear sky
180,Chandbali,IN,20.7833,86.7667,67.14,73,100,3.67,overcast clouds
181,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,75,4.61,light intensity drizzle
182,Cuenca,EC,-2.8833,-78.9833,69.93,52,75,4.61,broken clouds
183,Faya,SA,18.3851,42.4509,57.72,86,33,8.1,scattered clouds
184,Cayenne,GF,4.9333,-52.3333,80.64,90,75,9.22,light rain
185,Hofn,IS,64.2539,-15.2082,30.22,55,40,12.66,scattered clouds
186,Grand-Santi,GF,4.25,-54.3833,80.67,84,47,4.34,scattered clouds
187,Mount Isa,AU,-20.7333,139.5,83.97,34,40,9.22,scattered clouds
188,Port Keats,AU,-14.25,129.55,80.65,84,0,2.95,clear sky
189,Nantucket,US,41.2835,-70.0995,52.61,73,0,13.8,clear sky
190,Liberal,US,37.0431,-100.921,54.63,43,0,23.02,clear sky
191,Adrar,MR,20.5022,-10.0711,67.8,15,6,12.77,clear sky
192,Pabna,BD,24.0,89.25,60.62,55,0,7.0,clear sky
193,Severo-Kurilsk,RU,50.6789,156.125,23.36,91,100,4.36,light snow
194,Caravelas,BR,-17.7125,-39.2481,84.31,57,0,8.97,clear sky
195,Ducheng,CN,23.2373,111.5317,55.15,91,100,3.51,overcast clouds
196,Quatre Cocos,MU,-20.2078,57.7625,78.91,80,35,3.56,scattered clouds
197,Mackenzie,CA,55.2999,-123.1698,19.62,79,100,6.91,overcast clouds
198,Atuona,PF,-9.8,-139.0333,77.65,76,8,14.5,clear sky
199,Provideniya,RU,64.3833,-173.3,-16.6,92,8,9.06,clear sky
200,Benghazi,LY,32.1167,20.0667,57.24,67,16,10.47,few clouds
201,Sangin,AF,32.0728,64.8359,51.96,30,0,5.82,clear sky
202,Hay River,CA,60.8156,-115.7999,-7.62,77,75,3.44,light snow
203,Porto Novo,BJ,6.4965,2.6036,85.82,80,9,8.77,clear sky
204,Laguna,US,38.421,-121.4238,74.23,67,0,4.61,clear sky
205,Castro,BR,-24.7911,-50.0119,80.2,45,16,2.26,few clouds
206,Tasiilaq,GL,65.6145,-37.6368,14.16,58,100,5.35,overcast clouds
207,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,75,2.3,broken clouds
208,Hamilton,US,39.1834,-84.5333,56.71,47,100,13.8,overcast clouds
209,Pahalgam,IN,34.0333,75.3333,16.39,50,6,14.65,clear sky
210,Bako,ET,5.7833,36.5667,71.83,45,100,3.74,overcast clouds
211,Waingapu,ID,-9.6567,120.2641,78.31,83,100,2.53,overcast clouds
212,Soe,ID,-9.8607,124.284,66.54,95,99,0.92,overcast clouds
213,Rocha,UY,-34.4833,-54.3333,85.32,48,96,9.31,overcast clouds
214,Shache,CN,38.4167,77.2406,35.17,42,100,6.82,overcast clouds
215,Skjervoy,NO,70.0311,20.9714,26.78,54,100,19.57,light snow
216,Mersing,MY,2.4312,103.8405,73.31,94,100,8.05,overcast clouds
217,Detchino,RU,54.8092,36.3075,34.25,97,9,7.09,clear sky
218,Atar,MR,20.5169,-13.0499,87.85,18,0,13.8,clear sky
219,Iqaluit,CA,63.7506,-68.5145,-0.31,77,100,2.3,light snow
220,Baykit,RU,61.67,96.37,-17.09,99,22,1.57,few clouds
221,Shingu,JP,33.7333,135.9833,36.91,63,10,6.17,clear sky
222,Kavaratti,IN,10.5669,72.642,80.38,76,39,10.25,scattered clouds
223,Cockburn Town,TC,21.4612,-71.1419,84.16,61,40,13.8,scattered clouds
224,Bhadrachalam,IN,17.6667,80.8833,69.04,64,72,3.29,broken clouds
225,Umm Lajj,SA,25.0213,37.2685,66.2,48,0,17.72,clear sky
226,Acheng,CN,45.5454,126.977,-0.47,100,93,4.32,overcast clouds
227,Bukama,CD,-9.2,25.85,69.42,96,95,3.89,overcast clouds
228,Ambulu,ID,-8.345,113.6058,75.83,88,100,3.4,overcast clouds
229,Salinopolis,BR,-0.6136,-47.3561,80.69,84,100,8.86,overcast clouds
230,Bilma,NE,18.6853,12.9164,66.79,18,0,6.96,clear sky
231,Smithers,CA,54.7804,-127.1743,23.32,80,75,2.3,broken clouds
232,Malanje,AO,-9.5402,16.341,67.89,75,100,2.91,overcast clouds
233,Oranjestad,AW,12.524,-70.027,85.95,58,40,24.16,scattered clouds
234,Platanos,GR,37.6667,21.6167,53.08,82,48,3.67,scattered clouds
235,Leiyang,CN,26.4024,112.8591,40.46,95,100,3.04,overcast clouds
236,San Cristobal,VE,7.7669,-72.225,66.38,57,84,3.24,broken clouds
237,Keffi,NG,8.8486,7.8736,89.98,9,11,3.8,few clouds
238,Katsuura,JP,35.1333,140.3,39.31,70,11,13.38,few clouds
239,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-16.47,100,100,2.08,overcast clouds
240,Chardara,KZ,41.2547,67.9692,49.39,46,100,9.08,overcast clouds
241,Husavik,IS,66.0449,-17.3389,24.71,90,95,5.77,overcast clouds
242,Esperance,AU,-33.8667,121.9,73.24,84,100,4.9,light rain
243,Lasa,IT,46.6166,10.7002,44.51,90,43,7.11,scattered clouds
244,Araouane,ML,18.9048,-3.5265,68.45,15,45,10.11,scattered clouds
245,Cheney,US,47.4874,-117.5758,41.77,49,40,11.5,fog
246,Whitianga,NZ,-36.8333,175.7,74.01,98,100,9.08,overcast clouds
247,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,69,62,3.67,broken clouds
248,Georgetown,MY,5.4112,100.3354,79.9,89,20,3.44,few clouds
249,Shirokiy,RU,49.758,129.523,3.76,96,100,7.16,overcast clouds
250,Bredasdorp,ZA,-34.5322,20.0403,67.32,77,5,3.44,clear sky
251,Hovd,MN,48.0056,91.6419,-14.1,87,89,4.34,overcast clouds
252,Bereda,ES,43.2686,-7.5406,52.0,97,100,3.33,overcast clouds
253,Kampot,KH,10.6167,104.1833,75.25,80,100,3.49,overcast clouds
254,Zhongxing,CN,33.7039,118.6792,37.96,85,69,4.12,broken clouds
255,Kpandu,GH,6.9954,0.2931,86.13,50,74,8.84,broken clouds
256,San Quintin,MX,30.4833,-115.95,72.91,23,0,4.68,clear sky
257,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,9.22,overcast clouds
258,Adelaide,AU,-34.9333,138.6,64.18,57,0,11.99,clear sky
259,Pimentel,PE,-6.8367,-79.9342,82.69,47,0,16.11,clear sky
260,Hambantota,LK,6.1241,81.1185,77.05,88,90,13.02,overcast clouds
261,Jiexiu,CN,37.0244,111.9125,33.6,50,100,2.51,overcast clouds
262,Muros,ES,42.7762,-9.0603,57.24,81,100,1.99,overcast clouds
263,Niort,FR,46.3333,-0.3333,43.14,65,100,1.99,overcast clouds
264,Guerrero Negro,MX,27.9769,-114.0611,73.98,23,0,4.72,clear sky
265,Mango,US,27.9797,-82.3065,79.12,61,40,5.75,scattered clouds
266,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.16,50,0,18.41,clear sky
267,Kalamazoo,US,42.2506,-85.55,38.59,87,100,10.36,overcast clouds
268,Roald,NO,62.5833,6.1333,38.34,87,75,18.41,broken clouds
269,Coihaique,CL,-45.5752,-72.0662,65.01,42,0,5.75,clear sky
270,Kachug,RU,53.9606,105.8817,-29.61,100,93,0.87,overcast clouds
271,Sungairaya,ID,0.7,108.9,75.42,93,100,2.75,light rain
272,Bilibino,RU,68.0546,166.4372,-36.58,97,35,2.37,scattered clouds
273,Semaria,IN,24.3073,79.9718,55.99,38,1,1.88,clear sky
274,Czluchow,PL,53.6672,17.3588,34.14,84,98,14.52,light snow
275,Biloela,AU,-24.4167,150.5,65.89,82,0,4.5,clear sky
276,Obihiro,JP,42.9172,143.2044,5.95,97,86,2.82,overcast clouds
277,Bafia,CM,4.75,11.2333,78.44,28,30,2.68,scattered clouds
278,Haines Junction,CA,60.7522,-137.5108,15.75,67,100,1.14,overcast clouds
279,Banda Aceh,ID,5.5577,95.3222,77.68,78,82,4.25,broken clouds
280,Vostok,RU,46.4856,135.8833,14.81,98,100,3.06,overcast clouds
281,Yerbogachen,RU,61.2767,108.0108,-11.02,97,100,3.38,overcast clouds
282,Pevek,RU,69.7008,170.3133,-27.45,99,96,7.0,overcast clouds
283,Coquimbo,CL,-29.9533,-71.3436,68.92,71,24,8.14,few clouds
284,Souillac,MU,-20.5167,57.5167,79.18,83,20,1.14,few clouds
285,Leh,IN,34.1667,77.5833,-10.37,60,7,4.12,clear sky
286,Katobu,ID,-4.9408,122.5276,75.56,91,100,1.97,light rain
287,Sorland,NO,67.667,12.6934,31.86,54,100,17.54,overcast clouds
288,Sambava,MG,-14.2667,50.1667,77.34,85,65,7.78,moderate rain
289,Ponta Do Sol,PT,32.6667,-17.1,65.12,72,18,3.11,few clouds
290,Key Largo,US,25.0865,-80.4473,82.02,77,21,5.66,few clouds
291,Montmagny,FR,48.9734,2.3469,42.98,75,0,5.75,clear sky
292,Palmer,US,42.1584,-72.3287,55.47,32,20,25.32,few clouds
293,Ternate,ID,0.8,127.4,79.18,83,100,4.29,overcast clouds
294,Cherskiy,RU,68.75,161.3,-37.35,100,86,6.02,overcast clouds
295,Huaiyuan,CN,32.973,117.1995,40.46,89,98,5.88,overcast clouds
296,Tigil,RU,57.8,158.6667,-20.22,100,81,1.05,broken clouds
297,Anaconda,US,46.1285,-112.9423,36.59,84,98,5.97,overcast clouds
298,Sai Buri,TH,6.7013,101.6168,76.32,85,100,5.86,overcast clouds
